business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Uncle Cafe	65 Waverly Pl	San Francisco	CA	94108	37.794034	-122.406794		71232_20160308	2017-03-08	55.0	Routine - Unscheduled	71232_20160308_103103	High risk food holding temperature	High Risk
Brenda's French Soul Food	652 B Polk St	San Francisco	CA	94102	37.782672	-122.419026		34839_20170905	2017-09-05	81.0	Routine - Unscheduled	34839_20170905_103145	Improper storage of equipment utensils or linens	Low Risk
SUNSET SUPERMARKET	2425 IRVING St	San Francisco	CA	94122	37.763221	-122.483832		5090_20170725	2017-07-25		Complaint	5090_20170725_103154	Unclean or degraded floors walls or ceilings	Low Risk
Kama Sushi Soma	294 09th Street	San Francisco	CA	94103	37.774722	-122.406761		68672_20150407	2017-04-07	64.0	Routine - Unscheduled	68672_20150407_103154	Unclean or degraded floors walls or ceilings	Low Risk
Dim Sum Kitchen Inc	2520 San Bruno Ave	San Francisco	CA	94134				88488_20170321	2017-03-21		Complaint	88488_20170321_103112	No hot water or running water	High Risk
GAS & SHOP	599 South Van Ness Ave	San Francisco	CA	94110	37.763803	-122.417326	+14155866835	7489_20170119	2017-01-19	77.0	Routine - Unscheduled	7489_20170119_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Mi Tierra Market	2023 MISSION St	San Francisco	CA	94110	37.764665	-122.419558		66961_20160311	2017-03-11	63.0	Routine - Unscheduled	66961_20160311_103161	Low risk vermin infestation	Low Risk
Sammy's Cafe	1416 Bush St	San Francisco	CA	94109				81383_20161024	2017-10-24	69.0	Routine - Unscheduled	81383_20161024_103131	Moderate risk vermin infestation	Moderate Risk
Coastside Farms and Specialties	50 Post St	San Francisco	CA	94104				33997_20150611	2017-06-11	100.0	Routine - Unscheduled			
New Gyro King	25 Grove St	San Francisco	CA	94102				82339_20160902	2017-09-02	65.0	Routine - Unscheduled	82339_20160902_103114	High risk vermin infestation	High Risk
PROGRESSIVE GROUNDS	400 CORTLAND Ave	San Francisco	CA	94110	37.739143	-122.417653		217_20170925	2017-09-25	93.0	Routine - Unscheduled	217_20170925_103103	High risk food holding temperature	High Risk
Hang Ah Tea Room	1 Pagoda Pl	San Francisco	CA	94108				84759_20160726	2017-07-26		New Ownership	84759_20160726_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Taqueria La Iguana Azul	928 Geneva Ave	San Francisco	CA	94112			+14155582318	81409_20160727	2017-07-27	89.0	Routine - Unscheduled	81409_20160727_103105	Improper cooling methods	High Risk
Mixt Greens	114 Sansome St #120	San Francisco	CA	94104	37.791456	-122.400716		68351_20160708	2017-07-08	81.0	Routine - Unscheduled	68351_20160708_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
On Lok	225 30th St	San Francisco	CA	94131	37.742129	-122.425006	+14155644359	11610_20161227	2017-12-27	90.0	Routine - Unscheduled	11610_20161227_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
LA TORTILLA	495 Castro St B	San Francisco	CA	94114	37.760954	-122.434935	+14155863990	1352_20170726	2017-07-26	86.0	Routine - Unscheduled	1352_20170726_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Sushiraw	4435 MISSION St	San Francisco	CA	94112	37.727239	-122.432799		60334_20170510	2017-05-10	86.0	Routine - Unscheduled	60334_20170510_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Juice Craze	3251 20th Ave 5517	San Francisco	CA	94132			+14150421739	85952_20161027	2017-10-27		Reinspection/Followup			
Hello Sandwich & Noodle	426 Larkin St	San Francisco	CA	94102				91843_20170721	2017-07-21		New Ownership			
ST. ANNE	1320 14th Ave	San Francisco	CA	94122	37.763403	-122.471582		5960_20160506	2017-05-06	92.0	Routine - Unscheduled	5960_20160506_103142	Unclean nonfood contact surfaces	Low Risk
Super Pan	5344 Geary Blvd	San Francisco	CA	94121				84615_20160628	2017-06-28	86.0	Routine - Unscheduled	84615_20160628_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Zhong Shan Restaurant	2237 Taraval St	San Francisco	CA	94116			+14155598938	76035_20170809	2017-08-09	69.0	Routine - Unscheduled	76035_20170809_103109	Unclean or unsanitary food contact surfaces	High Risk
Tu Lan Vietnamese Restaurant	8 06th St	San Francisco	CA	94103				76747_20170307	2017-03-07		Reinspection/Followup			
Ozone Thai Restaurant and Lounge	598 02nd St	San Francisco	CA	94107	37.781947	-122.392239		61436_20150928	2017-09-28	87.0	Routine - Unscheduled	61436_20150928_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Blaze Pizza Fast-Fire'd	3251 20th Ave #157	San Francisco	CA	94132			+14156585880	82345_20160624	2017-06-24	81.0	Routine - Unscheduled	82345_20160624_103157	Food safety certificate or food handler card not available	Low Risk
Escape From New York Pizza	333 Bush St #103	San Francisco	CA	94104	37.790844	-122.403168		1867_20170626	2017-06-26	90.0	Routine - Unscheduled	1867_20170626_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
California Bakery	77 McAllister St	San Francisco	CA	94102				82145_20171212	2017-12-12	86.0	Routine - Unscheduled	82145_20171212_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Bernie's	50 Post St #8	San Francisco	CA	94104	37.789064	-122.402861		71682_20171215	2017-12-15	92.0	Routine - Unscheduled	71682_20171215_103156	Permit license or inspection report not posted	Low Risk
SUNSET SUPERMARKET	2425 IRVING St	San Francisco	CA	24192	37.763221	-122.483832		5090_20170329	2017-03-29		Complaint			
SAKANA BUNE RESTAURANT	5701 GEARY Blvd	San Francisco	CA	94121	37.780204	-122.480599		2280_20160825	2017-08-25	82.0	Routine - Unscheduled	2280_20160825_103154	Unclean or degraded floors walls or ceilings	Low Risk
S & B Supermarket Inc.	2203 Irving St	San Francisco	CA	94122				79401_20160418	2017-04-18	94.0	Routine - Unscheduled	79401_20160418_103139	Improper food storage	Low Risk
L'a Poke	314 Church St	San Francisco	CA	94114			+14155246016	86910_20170830	2017-08-30		Reinspection/Followup			
Delarosa	37 Yerba Buena Ln	San Francisco	CA	94103				84038_20160809	2017-08-09	90.0	Routine - Unscheduled	84038_20160809_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
EL TACO LOCO INC.	3274 24th St	San Francisco	CA	94110	37.752308	-122.417881		2337_20171003	2017-10-03	86.0	Routine - Unscheduled	2337_20171003_103142	Unclean nonfood contact surfaces	Low Risk
Eatsa	1 California St	San Francisco	CA	94104				85731_20160309	2017-03-09		New Construction			
E-Z STOP MARKET	2203 GENEVA Ave	San Francisco	CA	94134	37.708356	-122.419989		4592_20160907	2017-09-07	94.0	Routine - Unscheduled	4592_20160907_103154	Unclean or degraded floors walls or ceilings	Low Risk
Mainland Market Co.	5601 Geary Blvd	San Francisco	CA	94121			+14155257919	80767_20150825	2017-08-25	89.0	Routine - Unscheduled	80767_20150825_103103	High risk food holding temperature	High Risk
Center Cafe	205 13th St	San Francisco	CA	94103	37.769751	-122.41832	+14155863888	69195_20160429	2017-04-29	76.0	Routine - Unscheduled	69195_20160429_103132	Improper thawing methods	Moderate Risk
Creative Catering	2600 Turk Blvd	San Francisco	CA	94118	37.778313	-122.449816		64067_20171205	2017-12-05	88.0	Routine - Unscheduled	64067_20171205_103132	Improper thawing methods	Moderate Risk
